word_000 Łyszczyński
word_001 Polak
word_002 doktór
word_003 homeopata
word_004 w
word_005 Edinburgu
word_006 który
word_007 się
word_008 porządnie
word_009 ożenił
word_010 spokojnie
word_011 siedzi
word_012 i
word_013 Anglik
word_014 zupełny
word_015 On
word_016 będzie
word_017 wiedział
word_018 gdzie
word_019 mi
word_020 list
word_021 odesłać
word_022 Ten
word_023 list
word_024 wczoraj
word_025 zaczęty
word_026 dziś
word_027 kończę
word_028 ale
word_029 czas
word_030 się
word_031 zmienił
word_032 i
word_033 brzydko
word_034 na
word_035 dworze
word_036 i
word_037 zły
word_038 jestem
word_039 i
word_040 smutno
word_041 mi
word_042 i
word_043 nudzą
word_044 mię
word_045 ludzie
word_046 swoimi
word_047 zbytnimi
word_048 opiekami
