word_000 Pyta
word_001 czy
word_002 jeszcze
word_003 w
word_004 Londynie
word_005 jestem
word_006 i
word_007 żeby
word_008 do
word_009 Ostendy
word_010 jej
word_011 dać
word_012 znać
word_013 o
word_014 tym
word_015 poste
word_016 restante
word_017 Żebym
word_018 był
word_019 mocniejszy
word_020 zaraz
word_021 bym
word_022 pojechał
word_023 odpowiedzieć
word_024 Inny
word_025 list
word_026 był
word_027 od
word_028 Chrystiana
word_029 Ostrowskiego
word_030 który
word_031 się
word_032 o
word_033 dramat
word_034 Mickiewicza
word_035 dowiaduje
word_036 który
word_037 niegdyś
word_038 p
word_039 Sand
word_040 w
word_041 ręku
word_042 miała
word_043 a
word_044 który
word_045 oddała
