word_000 Po
word_001 co
word_002 Cię
word_003 mam
word_004 nudzić
word_005 moimi
word_006 jeremiadami
word_007 Sam
word_008 masz
word_009 biedy
word_010 po
word_011 uszy
word_012 Powinienem
word_013 Cię
word_014 moim
word_015 listem
word_016 bawić
word_017 Żebym
word_018 był
word_019 w
word_020 humorze
word_021 to
word_022 bym
word_023 Ci
word_024 opisał
word_025 jedną
word_026 Szkotkę
word_027 13
word_028 tą
word_029 kuzynkę
word_030 Marii
word_031 Stuart
word_032 sic
word_033 mąż
word_034 co
word_035 się
word_036 inaczej
word_037 jak
word_038 żona
word_039 nazywa
word_040 serio
word_041 mi
word_042 to
word_043 powiedział
word_044 Tu
word_045 tylko
word_046 kuzyni
word_047 i
word_048 kuzynki
word_049 wielkich
word_050 familii
word_051 i
word_052 wielkich
word_053 imion
word_054 o
word_055 których
word_056 na
word_057 kontynencie
word_058 nikt
word_059 nie
word_060 słyszał
word_061 Cała
word_062 konwersacja
word_063 genealogiczna
word_064 zawsze
word_065 podobna
word_066 do
word_067 Ewangelii
