word_000 Moje
word_001 najdroższe
word_002 Życie
word_003 Od
word_004 czasu
word_005 jak
word_006 do
word_007 Ciebie
word_008 pisałem
word_009 byłem
word_010 w
word_011 Manchesterze
word_012 Bardzo
word_013 dobrze
word_014 mię
word_015 przyjęto
word_016 musiałem
word_017 3
word_018 raz
word_019 usiąść
word_020 do
word_021 fortepianu
word_022 Sala
word_023 piękna
word_024 1200
word_025 osób
word_026 Mieszkałem
word_027 na
word_028 wsi
word_029 bo
word_030 w
word_031 mieście
word_032 za
word_033 wielki
word_034 dym
word_035 wszyscy
word_036 bogatsi
word_037 mają
word_038 swe
word_039 mieszkania
word_040 za
word_041 miastem
word_042 Mieszkałem
word_043 u
word_044 poczciwego
word_045 Schwabe
word_046 możeś
word_047 go
word_048 kiedy
word_049 u
word_050 Leona
word_051 widział
word_052 Jeden
word_053 z
word_054 pierwszych
word_055 fabrykantów
word_056 posiada
word_057 najwyższy
word_058 komin
word_059 w
word_060 Manchesterze
word_061 który
word_062 5000
word_063 funtów
word_064 kosztował
word_065 Jest
word_066 on
word_067 przyjacielem
word_068 Cobdena
word_069 i
word_070 sam
word_071 wielki
word_072 libre
word_073 echanżysta
word_074 Żyd
word_075 niby
word_076 protestant
