word_000 Widziałem
word_001 także
word_002 u
word_003 Schwabego
word_004 brata
word_005 Leona
word_006 który
word_007 tam
word_008 także
word_009 handluje
word_010 Ten
word_011 Schwabe
word_012 zna
word_013 Albrechta
word_014 z
word_015 Hawru
word_016 więc
word_017 posłałem
word_018 zaraz
word_019 przez
word_020 niego
word_021 do
word_022 Albrechta
word_023 naszego
word_024 żeby
word_025 komorne
word_026 i
word_027 perceptora
word_028 zapłacił
word_029 w
word_030 Squarze
word_031 Orleańskim
word_032 Moje
word_033 życie
word_034 powiedz
word_035 o
word_036 tym
word_037 de
word_038 Laracowi
word_039 Dziękuję
word_040 Ci
word_041 za
word_042 Twój
word_043 poczciwy
word_044 list
word_045 i
word_046 za
word_047 Nossarz
word_048 O
word_049 kocie
word_050 dzikim
word_051 nie
word_052 myślę
word_053 bo
word_054 i
word_055 cachemire
word_056 mój
word_057 mi
word_058 cięży
word_059 Uściskaj
word_060 go
word_061 i
word_062 powiedz
word_063 że
word_064 zaraz
word_065 sprobuję
word_066 jak
word_067 tylko
word_068 go
word_069 uniosę
word_070 Ale
word_071 że
word_072 serio
word_073 spróbuję
word_074 może
word_075 jak
word_076 zimno
word_077 będzie
