word_000 Moje
word_001 Kochanie
word_002 Jutro
word_003 w
word_004 nocy
word_005 jedziemy
word_006 do
word_007 Paryża
word_008 za
word_009 mieszkaniem
word_010 W
word_011 sobotę
word_012 wieczorem
word_013 będziem
word_014 na
word_015 ulicy
word_016 Pigalle
word_017 Dzień
word_018 tu
word_019 zostaję
word_020 Panna
word_021 de
word_022 Rozières
word_023 tutaj
word_024 dziś
word_025 przyjechała
word_026 i
word_027 zostanie
word_028 z
word_029 Solange
word_030 przez
word_031 te
word_032 parę
word_033 dni
word_034 Poczta
word_035 odchodzi
word_036 więc
word_037 Ci
word_038 więcej
word_039 nie
word_040 piszę
word_041 Mam
word_042 nadzieję
word_043 że
word_044 Cię
word_045 dobrze
word_046 zastanę
word_047 Twój
word_048 stary
word_049 F
word_050 Ch
word_051 Nie
word_052 dopisuje
word_053 Ci
word_054 się
word_055 George
word_056 Sand
word_057 bo
word_058 ma
word_059 gości
word_060 z
word_061 miasta
