word_000 Cała
word_001 konwersacja
word_002 genealogiczna
word_003 zawsze
word_004 podobna
word_005 do
word_006 Ewangelii
word_007 co
word_008 to
word_009 ten
word_010 zrodził
word_011 owego
word_012 a
word_013 ów
word_014 tamtego
word_015 a
word_016 tamten
word_017 innego
word_018 i
word_019 tak
word_020 dwie
word_021 karty
word_022 aż
word_023 do
word_024 Pana
word_025 Jezusa
word_026 Układają
word_027 mi
word_028 tu
word_029 koncert
word_030 w
word_031 Glasgowie
word_032 Nie
word_033 wiem
word_034 co
word_035 z
word_036 tego
word_037 będzie
word_038 Kochani
word_039 tu
word_040 bardzo
word_041 dobrzy
word_042 mają
word_043 dla
word_044 mnie
word_045 wielkie
word_046 delikatności
word_047 Jest
word_048 tu
word_049 dużo
word_050 rozmaitych
word_051 Ladys
word_052 starych
word_053 70
word_054 i
word_055 80
word_056 letnich
word_057 lordów
word_058 a
word_059 młodzieży
word_060 wcale
word_061 bo
word_062 są
word_063 na
word_064 polowaniu
word_065 Tu
word_066 wyjść
word_067 nie
word_068 można
word_069 bo
word_070 deszcz
word_071 i
word_072 zawierucha
word_073 od
word_074 kilku
word_075 dni
word_076 Nie
word_077 wiem
word_078 jak
word_079 będzie
word_080 z
word_081 moją
word_082 podróżą
word_083 do
word_084 Stracharu
word_085 do
word_086 lady
word_087 Murray
word_088 trzeba
word_089 przepływać
word_090 Loch
word_091 Long
word_092 jedno
word_093 z
word_094 piękniejszych
word_095 jezior
word_096 tutaj
word_097 objeżdżać
word_098 na
word_099 pobrzeżu
word_100 wschodnim
word_101 Szkocję
word_102 ale
word_103 to
word_104 tylko
word_105 4
word_106 godzin
word_107 stąd
word_108 Dziś
word_109 9
word_110 ty
word_111 Posyłam
word_112 Ci
word_113 mój
word_114 stary
word_115 list
word_116 z
word_117 4
word_118 go
word_119 sept
word_120 Daruj
word_121 mi
word_122 wszystkie
word_123 bazgraniny
word_124 wiesz
word_125 co
word_126 za
word_127 męka
word_128 dla
word_129 mnie
word_130 czasem
word_131 pisać
word_132 pióro
word_133 mi
word_134 się
word_135 pali
word_136 pod
word_137 palcem
word_138 włosy
word_139 mi
word_140 z
word_141 głowy
word_142 padają
word_143 i
word_144 nie
word_145 mogę
word_146 napisać
word_147 tego
word_148 co
word_149 bym
word_150 chciał
word_151 tylko
word_152 tysiąc
word_153 niepotrzebnych
word_154 rzeczy
word_155 Do
word_156 Soli
word_157 nie
word_158 pisałem
word_159 ani
word_160 do
word_161 Derozièrki
word_162 Napiszę
word_163 jak
word_164 będę
word_165 mniej
word_166 rozigranego
word_167 stanu
word_168 Ściskam
word_169 Cię
word_170 Twój
word_171 do
word_172 zgonu
word_173 Ch
word_174 Pisz
word_175 i
word_176 niech
word_177 Cię
word_178 Bóg
word_179 strzeże
