word_000 Moje
word_001 Kochanie
word_002 Dziękuję
word_003 Ci
word_004 za
word_005 wszystkie
word_006 Twoje
word_007 dobre
word_008 komisa
word_009 Dziś
word_010 tj
word_011 9
word_012 go
word_013 odebrałem
word_014 fortepian
word_015 a
word_016 tamte
word_017 rzeczy
word_018 2
word_019 go
word_020 dnia
word_021 Biuściku
word_022 mego
word_023 do
word_024 domu
word_025 nie
word_026 posyłaj
word_027 tylko
word_028 w
word_029 szafie
word_030 zostaw
word_031 bo
word_032 by
word_033 się
word_034 przelękli
word_035 Jasia
word_036 uściskaj
word_037 za
word_038 list
word_039 Napiszę
word_040 mu
word_041 kilka
word_042 słów
word_043 wkrótce
word_044 Jutro
word_045 zapewne
word_046 odeślę
word_047 mojego
word_048 starego
word_049 służącego
word_050 który
word_051 głowę
word_052 tutaj
word_053 traci
word_054 Jest
word_055 to
word_056 poczciwy
word_057 człowiek
word_058 i
word_059 umie
word_060 służyć
word_061 ale
word_062 maruda
word_063 i
word_064 niecierpliwi
word_065 tutaj
word_066 ludzi
word_067 Odeślę
word_068 go
word_069 zapewne
word_070 powiedziawszy
word_071 mu
word_072 żeby
word_073 na
word_074 mnie
word_075 w
word_076 Paryżu
word_077 czekał
word_078 Więc
word_079 jeżeli
word_080 Ci
word_081 się
word_082 pokaże
word_083 w
word_084 domu
word_085 nie
word_086 zlęknij
word_087 się
word_088 jest
word_089 to
word_090 jedyny
word_091 sposób
word_092 pozbycia
word_093 go
word_094 się
word_095 powiedz
word_096 mu
word_097 żeby
word_098 na
word_099 mnie
word_100 w
word_101 domu
word_102 czekał
word_103 a
word_104 za
word_105 tydzień
word_106 albo
word_107 dwa
word_108 napisać
word_109 mu
word_110 że
word_111 albo
word_112 później
word_113 wrócę
word_114 jakem
word_115 myślał
word_116 albo
word_117 że
word_118 co
word_119 innego
word_120 i
word_121 dać
word_122 mu
word_123 krzyżyk
word_124 na
word_125 drogę
word_126 Zresztą
word_127 tutaj
word_128 jaka
word_129 taka
word_130 pogoda
word_131 3
word_132 dni
word_133 czekał
word_134 w
word_135 Châteauroux
word_136 człowiek
word_137 na
word_138 fortepian
word_139 którego
