word_000 wczoraj
word_001 odwołać
word_002 kazałem
word_003 odebrawszy
word_004 Twój
word_005 list
word_006 a
word_007 fortepian
word_008 jaki
word_009 głos
word_010 ma
word_011 jeszcze
word_012 nie
word_013 wiem
word_014 bo
word_015 nie
word_016 odpakowany
word_017 dopiero
word_018 jutro
word_019 ma
word_020 być
word_021 ten
word_022 wielki
word_023 wypadek
word_024 Co
word_025 się
word_026 z
word_027 poszukiwaniem
word_028 na
word_029 rulażu
word_030 tycze
word_031 daj
word_032 pokój
word_033 bo
word_034 nie
word_035 warto
word_036 się
word_037 kłócić
word_038 Zrobiłeś
word_039 jak
word_040 mogłeś
word_041 najlepiej
word_042 parę
word_043 kropel
word_044 złej
word_045 krwi
word_046 i
word_047 kilka
word_048 dni
word_049 straconych
word_050 na
word_051 oczekiwaniu
word_052 nie
word_053 warte
word_054 tylko
word_055 nos
word_056 porządnie
word_057 sobie
word_058 utrzeć
word_059 po
word_060 skończonej
word_061 sprawie
word_062 Więc
word_063 zapomnij
word_064 i
word_065 moje
word_066 komisa
word_067 i
word_068 Twoją
word_069 sprawę
word_070 Drugi
word_071 raz
word_072 da
word_073 Pan
word_074 Bóg
word_075 doczekać
word_076 lepiej
word_077 będzie
word_078 Późno
word_079 w
word_080 nocy
word_081 Ci
word_082 piszę
word_083 te
word_084 kilka
word_085 słów
word_086 Jeszcze
word_087 Ci
word_088 raz
word_089 dziękuję
word_090 za
word_091 Twoje
word_092 sprawunki
word_093 którym
word_094 nie
word_095 koniec
word_096 bo
word_097 teraz
word_098 afera
word_099 Troupenasa
word_100 Ci
word_101 będzie
word_102 wisieć
word_103 na
word_104 karku
word_105 O
word_106 tym
word_107 Ci
word_108 obszerniej
word_109 kiedyś
word_110 napiszę
word_111 a
word_112 dziś
