word_000 dobrej
word_001 nocy
word_002 Ci
word_003 życzę
word_004 i
word_005 niech
word_006 Ci
word_007 się
word_008 nie
word_009 śni
word_010 jak
word_011 Jasiowi
word_012 żem
word_013 umarł
word_014 tylko
word_015 niech
word_016 Ci
word_017 się
word_018 śni
word_019 że
word_020 się
word_021 rodzę
word_022 albo
word_023 coś
word_024 podobnego
word_025 W
word_026 istocie
word_027 teraz
word_028 tak
word_029 łagodny
word_030 czynię
word_031 się
word_032 jak
word_033 dziecko
word_034 w
word_035 pieluchach
word_036 i
word_037 żeby
word_038 mię
word_039 kto
word_040 na
word_041 paskach
word_042 chciał
word_043 wodzić
word_044 bardzo
word_045 bym
word_046 się
word_047 cieszył
word_048 nb
word_049 z
word_050 bardzo
word_051 dobrze
word_052 owatowaną
word_053 czapką
word_054 na
word_055 łepecie
word_056 bobym
word_057 się
word_058 czuję
word_059 co
word_060 moment
word_061 potykał
word_062 i
word_063 przewracał
word_064 Na
word_065 nieszczęście
word_066 zamiast
word_067 pasków
word_068 zapewne
word_069 mię
word_070 czekają
word_071 szczudła
word_072 czy
word_073 kule
word_074 jeżeli
word_075 się
word_076 ku
word_077 starości
word_078 dzisiejszym
word_079 krokiem
word_080 dostanę
word_081 Niegdyś
word_082 śniło
word_083 mi
word_084 się
word_085 żem
word_086 umarł
word_087 w
word_088 szpitalu
word_089 i
word_090 tak
word_091 mi
word_092 to
word_093 w
word_094 głowie
word_095 utkwiło
word_096 że
word_097 zdaje
word_098 mi
word_099 się
word_100 że
word_101 wczoraj
word_102 Jeżeli
word_103 mnie
word_104 przeżyjesz
word_105 dowiesz
word_106 się
word_107 czy
word_108 w
word_109 sny
word_110 wierzyć
word_111 trzeba
word_112 temu
word_113 kilka
word_114 lat
word_115 co
word_116 innego
word_117 mi
word_118 się
word_119 śniło
word_120 ale
word_121 się
word_122 nie
word_123 wyśniło
word_124 I
word_125 teraz
word_126 śnię
word_127 na
word_128 jawie
word_129 szałki
word_130 opałki
word_131 jak
word_132 to
word_133 powiadają
word_134 dlatego
word_135 Ci
word_136 takie
word_137 głupstwa
word_138 piszę
word_139 Nieprawda
word_140 Przyślij
word_141 mi
word_142 rychło
word_143 list
word_144 z
word_145 domu
word_146 i
word_147 kochaj
word_148 starego
word_149 Ch
