word_000 Dziękuję
word_001 Ci
word_002 moje
word_003 Życie
word_004 za
word_005 Twoje
word_006 zabiegi
word_007 Nie
word_008 spodziewałem
word_009 się
word_010 żydowstwa
word_011 ze
word_012 strony
word_013 Pleyela
word_014 ale
word_015 kiedy
word_016 tak
word_017 proszę
word_018 Cię
word_019 oddaj
word_020 mu
word_021 ten
word_022 list
word_023 Chyba
word_024 że
word_025 Ci
word_026 żadnych
word_027 trudności
word_028 o
word_029 Balladę
word_030 i
word_031 Polonezy
word_032 robić
word_033 nie
word_034 będzie
word_035 W
word_036 przeciwnym
word_037 razie
word_038 odebrawszy
word_039 za
word_040 Balladę
word_041 500
word_042 od
word_043 Probsta
word_044 zaniesiesz
word_045 Balladę
word_046 Schlesingerowi
word_047 Kiedy
word_048 już
word_049 mieć
word_050 z
word_051 Żydami
word_052 do
word_053 czynienia
word_054 to
word_055 przynajmniej
word_056 z
word_057 ortodoksami
word_058 Probst
word_059 może
word_060 mnie
word_061 jeszcze
word_062 gorzej
word_063 oszwabić
word_064 bo
word_065 to
word_066 ptaszek
word_067 którego
word_068 nie
word_069 złapiesz
word_070 Schlesinger
word_071 ciągle
word_072 mnie
word_073 szwabił
word_074 dosyć
word_075 na
word_076 mnie
word_077 zarobił
word_078 i
word_079 nowego
word_080 zarobku
word_081 nie
word_082 odmówi
word_083 tylko
word_084 z
word_085 nim
word_086 grzecznie
word_087 bo
word_088 Żyd
word_089 chce
word_090 za
word_091 coś
word_092 uchodzić
word_093 Więc
word_094 jeżeli
word_095 Pleyel
word_096 trudności
word_097 robić
word_098 będzie
word_099 najmniejsze
word_100 pójdziesz
word_101 do
word_102 Schl
word_103 i
word_104 powiesz
word_105 mu
word_106 że
word_107 mu
word_108 daję
word_109 Balladę
word_110 dla
word_111 Francji
word_112 i
word_113 Anglii
word_114 za
word_115 800
word_116 bo
word_117 tysiąc
word_118 nie
word_119 da
word_120 a
word_121 Polonezy
word_122 dla
word_123 Niemiec
word_124 Anglii
word_125 i
word_126 Francji
word_127 za
word_128 1500
word_129 a
word_130 nie
word_131 będzie
word_132 chciał
word_133 dać
word_134 to
word_135 za
word_136 1400
word_137 albo
word_138 1300
word_139 nawet
word_140 1200
word_141 Jeżeli
word_142 bo
word_143 zapewne
word_144 Probst
word_145 go
word_146 uprzedził
word_147 o
word_148 Preludiach
word_149 i
word_150 Pleyelu
word_151 będzie
word_152 co
word_153 wspominał
word_154 o
word_155 nich
word_156 i
word_157 Pleyelu
word_158 powiesz
word_159 że
word_160 to
word_161 rzecz
word_162 obiecana
word_163 dawno
word_164 Pleyelowi
word_165 że
word_166 on
word_167 chciał
word_168 być
word_169 ich
word_170 wydawcą
word_171 że
word_172 mnie
word_173 o
word_174 to
word_175 bardzo
word_176 przed
word_177 wyjazdem
word_178 prosił
word_179 jak
word_180 w
word_181 istocie
word_182 było
word_183 Widzisz
word_184 moje
word_185 Życie
word_186 dla
word_187 Pleyela
word_188 mógłbym
word_189 ze
word_190 Schlesingerem
word_191 zrywać
word_192 ale
word_193 dla
