word_000 bo
word_001 mi
word_002 doktór
word_003 przed
word_004 latem
word_005 z
word_006 południa
word_007 nie
word_008 pozwala
word_009 się
word_010 ruszyć
word_011 Dziady
word_012 odebrałem
word_013 wczoraj
word_014 Co
word_015 się
word_016 rękawicznika
word_017 i
word_018 małego
word_019 krawca
word_020 tycze
word_021 mogą
word_022 czekać
word_023 durnie
word_024 Co
word_025 z
word_026 moimi
word_027 papierami
word_028 Listy
word_029 zostawisz
word_030 w
word_031 biurku
word_032 a
word_033 nuty
word_034 do
word_035 Jasia
word_036 albo
word_037 do
word_038 siebie
word_039 W
word_040 stoliku
word_041 co
word_042 w
word_043 przedpokoju
word_044 także
word_045 są
word_046 listy
word_047 trzeba
word_048 żebyś
word_049 zamknął
word_050 go
word_051 dobrze
word_052 List
word_053 Schlesingera
word_054 opłatkiem
word_055 zapieczętujesz
word_056 Pisz
word_057 często
word_058 Twój
word_059 Ch
word_060 Jasia
word_061 uściskaj
