word_000 głupstwa
word_001 bo
word_002 nic
word_003 rozsądnego
word_004 w
word_005 głowie
word_006 nie
word_007 mam
word_008 Wegetuję
word_009 czekam
word_010 zimy
word_011 cierpliwie
word_012 Marzę
word_013 to
word_014 o
word_015 domu
word_016 to
word_017 o
word_018 Rzymie
word_019 to
word_020 o
word_021 szczęściu
word_022 to
word_023 o
word_024 biedzie
word_025 Nikt
word_026 mi
word_027 dziś
word_028 do
word_029 gustu
word_030 nie
word_031 gra
word_032 a
word_033 tak
word_034 się
word_035 wyrozumiały
word_036 zrobiłem
word_037 że
word_038 mógłbym
word_039 Sowińskiego
word_040 Oratorium
word_041 z
word_042 przyjemnością
word_043 słuchać
word_044 i
word_045 nie
word_046 umrzeć
word_047 Przypomina
word_048 mi
word_049 się
word_050 Norblin
word_051 malarz
word_052 który
word_053 mówił
word_054 że
word_055 jeden
word_056 pewny
word_057 malarz
word_058 w
word_059 Rzymie
word_060 widział
word_061 robotę
word_062 jednego
word_063 drugiego
word_064 i
word_065 tak
word_066 mu
word_067 się
word_068 nieprzyjemnie
word_069 zrobiło
word_070 że
word_071 umarł
word_072 Co
word_073 mi
word_074 się
word_075 zostało
word_076 to
word_077 nos
word_078 duży
word_079 i
word_080 4
word_081 ty
word_082 palec
word_083 niewyrobiony
word_084 Jesteś
word_085 niegodziwiec
word_086 jeżeli
word_087 mi
word_088 słowa
word_089 nie
word_090 odpiszesz
word_091 na
word_092 ten
word_093 mój
word_094 obecny
word_095 epitr
word_096 Złyś
word_097 czas
word_098 wybrał
word_099 na
word_100 Twoją
word_101 podróż
word_102 Jednakże
word_103 niech
word_104 Cię
word_105 Bóg
word_106 Ojców
word_107 prowadzi
word_108 Bądź
word_109 szczęśliwy
word_110 Myślę
word_111 żeś
word_112 dobrze
word_113 zrobił
word_114 żeś
word_115 osiadł
word_116 w
word_117 Nowym
word_118 Jorku
word_119 a
word_120 nie
word_121 w
word_122 Hawannie
word_123 Jeżeli
word_124 Emersona
word_125 zobaczysz
word_126 sławnego
word_127 Waszego
word_128 filozofa
word_129 przypomnij
word_130 mu
word_131 mnie
word_132 Herberga
word_133 uściskaj
word_134 a
word_135 siebie
word_136 ucałuj
word_137 i
word_138 nie
word_139 krzyw
word_140 się
word_141 Twój
word_142 stary
word_143 Ch
