word_000 Więc
word_001 już
word_002 nie
word_003 mam
word_004 dobrze
word_005 nastrojonego
word_006 podług
word_007 mojego
word_008 zwyczaju
word_009 fortep
word_010 na
word_011 świecie
word_012 Moos
word_013 umarł
word_014 i
word_015 nikt
word_016 mi
word_017 już
word_018 obuwia
word_019 tak
word_020 wygodnego
word_021 nie
word_022 robi
word_023 Jeszcze
word_024 4
word_025 ech
word_026 a
word_027 5
word_028 ciu
word_029 niech
word_030 mi
word_031 pojedzie
word_032 do
word_033 bramy
word_034 ś
word_035 go
word_036 Piotra
word_037 a
word_038 całe
word_039 życie
word_040 moje
word_041 wygodniejsze
word_042 będzie
word_043 ad
word_044 patres
word_045 Moi
word_046 poczciwi
word_047 i
word_048 Matka
word_049 i
word_050 Siostry
word_051 z
word_052 łaski
word_053 P
word_054 B
word_055 żyją
word_056 ale
word_057 cholera
word_058 Tytus
word_059 także
word_060 poczciwiec
word_061 Ty
word_062 liczysz
word_063 się
word_064 jeszcze
word_065 jak
word_066 widzisz
word_067 do
word_068 najstarszych
word_069 moich
word_070 wspomnień
word_071 a
word_072 ja
word_073 do
word_074 Twoich
word_075 boś
word_076 Ty
word_077 młodszy
word_078 podobno
word_079 jak
word_080 to
word_081 dziś
word_082 wiele
word_083 znaczy
word_084 który
word_085 od
word_086 nas
word_087 ma
word_088 dwie
word_089 godziny
word_090 więcej
word_091 Zaręczam
word_092 Ci
word_093 że
word_094 bym
word_095 chętnie
word_096 przystał
word_097 być
word_098 bardzo
word_099 nawet
word_100 młodszym
word_101 od
word_102 Ciebie
word_103 aby
word_104 Cię
word_105 w
word_106 przejeździe
word_107 moim
word_108 uściskać
word_109 Że
word_110 Ciebie
word_111 żółta
word_112 febra
word_113 a
word_114 mnie
word_115 żółtaczka
word_116 nie
word_117 porwała
word_118 to
word_119 niepojęta
word_120 rzecz
word_121 bośmy
word_122 obydwaj
word_123 na
word_124 te
word_125 żółtka
word_126 wystawieni
word_127 byli
word_128 Piszę
word_129 Ci
