word_000 Spadają
word_001 z
word_002 konia
word_003 umyślnie
word_004 biją
word_005 się
word_006 w
word_007 zbrojach
word_008 starożytnych
word_009 i
word_010 zrzucają
word_011 się
word_012 na
word_013 łeb
word_014 każdy
word_015 z
word_016 herbem
word_017 wyekwipowany
word_018 słońce
word_019 się
word_020 we
word_021 wszystkich
word_022 zbrojach
word_023 przegląda
word_024 blask
word_025 tętnienie
word_026 i
word_027 brzęk
word_028 armurów
word_029 słowem
word_030 spektakl
word_031 jak
word_032 tylko
word_033 można
word_034 najszczególniejszy
word_035 Każdy
word_036 z
word_037 tych
word_038 aktorów
word_039 których
word_040 rola
word_041 się
word_042 kończy
word_043 i
word_044 zaczyna
word_045 na
word_046 dobrym
word_047 ubraniu
word_048 myśli
word_049 że
word_050 jest
word_051 owym
word_052 dukiem
word_053 owym
word_054 con
word_055 tem
word_056 owym
word_057 księciem
word_058 którego
word_059 przedstawia
word_060 A
word_061 owe
word_062 kobiety
word_063 myślą
word_064 że
word_065 są
word_066 damami
word_067 istotnie
word_068 owymi
word_069 o
word_070 które
word_071 się
word_072 biją
word_073 albo
word_074 które
word_075 zwycięzcom
word_076 dodają
word_077 ducha
word_078 swoją
word_079 pięknością
word_080 i
word_081 przymiotami
word_082 Chrzestnego
word_083 mojego
word_084 pozdrówcie
word_085 i
word_086 Elsnera
word_087 i
word_088 wszystkich
word_089 Nowaka
word_090 także
word_091 i
word_092 podziękujcie
word_093 mu
word_094 ode
word_095 mnie
word_096 że
word_097 Wam
word_098 wszystko
word_099 zawiózł
word_100 Wernikowi
word_101 niewiele
word_102 lekcji
word_103 jeszcze
word_104 dałem
word_105 ale
word_106 czasu
word_107 wiele
word_108 nie
word_109 mam
word_110 powoli
word_111 to
word_112 się
word_113 tam
word_114 zrobi
word_115 i
word_116 co
word_117 z
word_118 niego
word_119 powiada
word_120 mi
word_121 że
word_122 pracuje
word_123 podług
word_124 tego
word_125 com
word_126 mu
word_127 powiedział
word_128 i
word_129 że
word_130 lepiej
word_131 idzie
word_132 Pleyel
word_133 bardzo
word_134 chorował
word_135 na
word_136 febrę
word_137 teraz
word_138 kupił
word_139 une
word_140 propriété
word_141 koło
word_142 Montmorency
word_143 i
word_144 tam
word_145 lato
word_146 przebywa
word_147 Co
word_148 dzień
word_149 przez
word_150 kolej
word_151 żelazną
word_152 jest
word_153 w
word_154 Paryżu
word_155 w
word_156 swej
word_157 fabryce
word_158 od
word_159 12
word_160 tej
word_161 do
word_162 5
word_163 tej
word_164 potem
word_165 tam
word_166 świeżego
word_167 powietrza
word_168 używa
word_169 Dziś
word_170 o
word_171 4
word_172 tej
word_173 mam
word_174 u
word_175 siebie
word_176 przyjaciół
word_177 z
word_178 Tours
word_179 Forest
word_180 którym
word_181 obiecałem
word_182 zagrać
word_183 sonatę
word_184 z
word_185 Franchommem
word_186 Przerobił
word_187 jak
word_188 wiecie
word_189 moją
word_190 Sonatę
word_191 z
word_192 marszem
word_193 na
word_194 orkiestrę
word_195 a
word_196 jedno
word_197 notturno
word_198 wczoraj
word_199 mi
word_200 przywiózł
word_201 pod
word_202 które
word_203 podłożył
word_204 słowa
word_205 O
word_206 salutaris
word_207 i
word_208 które
word_209 dobrze
word_210 się
word_211 śpiewa
word_212 Drzwi
word_213 się
word_214 nie
word_215 zamykają
word_216 u
word_217 mnie
word_218 od
word_219 rozmaitych
word_220 wizytatorów
word_221 których
word_222 z
word_223 kwitkiem
word_224 puścić
word_225 czasem
word_226 nie
word_227 mogę
word_228 Powinienem
word_229 za
word_230 niegrzecznego
word_231 dawno
word_232 uchodzić
word_233 ale
word_234 jakoś
word_235 jeszcze
word_236 nie
word_237 Ściskam
word_238 Was
word_239 serdecznie
word_240 Znów
word_241 Wam
word_242 napiszę
word_243 niedługo
word_244 Odpiszcie
word_245 mi
word_246 Mameczce
word_247 wszystkiego
word_248 najszczęśliwszego
word_249 Najprzy
word_250 wiązańszy
word_251 Ch
word_252 Ludwikę
word_253 Izabelę
word_254 ściskam
word_255 Ten
word_256 list
word_257 więcej
word_258 Ludwikę
word_259 co
word_260 zna
word_261 tutejszych
word_262 jak
word_263 Was
word_264 obchodzić
word_265 będzie
word_266 ale
word_267 do
word_268 Was
word_269 wszystkich
word_270 adresuję
word_271 i
word_272 wiem
word_273 że
word_274 sobie
word_275 niektóre
word_276 rzeczy
word_277 zostawicie
word_278 Antka
word_279 i
word_280 Kalasantego
word_281 i
word_282 dzieci
word_283 ściskam
