word_000 Kiedy
word_001 na
word_002 szczytku
word_003 życia
word_004 sunę
word_005 myśl
word_006 po
word_007 Niebie
word_008 Aniołem
word_009 opiekuńczym
word_010 zawsze
word_011 widzę
word_012 Ciebie
word_013 Dobra
word_014 wierna
word_015 poczciwa
word_016 towarzyszko
word_017 moja
word_018 W
word_019 sercu
word_020 Twojem
word_021 niezłomna
word_022 święta
word_023 była
word_024 zbroja
word_025 Czy
word_026 to
word_027 w
word_028 dobie
word_029 dzieci
word_030 czy
word_031 w
word_032 dalszym
word_033 rozwoju
word_034 Nie
word_035 szczędziłaś
word_036 opieki
word_037 nie
word_038 szczędziłaś
word_039 znoju
