word_000 O
word_001 matko
word_002 moja
word_003 niech
word_004 się
word_005 tobie
word_006 zdaje
word_007 że
word_008 rysy
word_009 moje
word_010 ożyły
word_011 na
word_012 chwilę
word_013 że
word_014 ten
word_015 co
word_016 kochał
word_017 był
word_018 kochany
word_019 tyle
word_020 Twój
word_021 syn
word_022 Twój
word_023 Erazm
word_024 przy
word_025 twem
word_026 sercu
word_027 staje
word_028 nie
word_029 by
word_030 na
word_031 nowo
word_032 otwierać
word_033 łez
word_034 zdroje
word_035 Bo
word_036 nie
word_037 oschły
word_038 jeszcze
word_039 Twoje
word_040 Nie
word_041 by
word_042 przypomnieć
word_043 przeszłość
word_044 swej
word_045 postaci
word_046 Bo
word_047 serce
word_048 matki
word_049 pamięci
word_050 nie
word_051 traci
word_052 Ale
word_053 że
word_054 skarbem
word_055 odwiecznej
word_056 dobroci
