word_000 Droga
word_001 krocza
word_002 Doroto
word_003 błagam
word_004 żeby
word_005 str
word_006 12
word_007 kwestia
word_008 6
word_009 Pani
word_010 nie
word_011 mówiła
word_012 wybaczył
word_013 ale
word_014 przebaczył
word_015 już
word_016 dlatego
word_017 choćby
word_018 że
word_019 to
word_020 nie
word_021 to
word_022 samo
word_023 a
word_024 poza
word_025 tym
word_026 tutaj
word_027 au
word_028 tor
word_029 rozmyślnie
word_030 uży
word_031 wa
word_032 tego
word_033 słowa
word_034 dwa
word_035 razy
word_036 Tysiąc
word_037 błogosławieństw
word_038 Iłakowiczówna
