word_000 Szanowny
word_001 Panie
word_002 Pozwalam
word_003 sobie
word_004 prosić
word_005 Szanownego
word_006 Pana
word_007 o
word_008 łaskawe
word_009 objaśnienie
word_010 czy
word_011 to
word_012 Pan
word_013 kupił
word_014 w
word_015 Salonie
word_016 Antykwarycznym
word_017 w
word_018 Warszawie
word_019 Nowy
word_020 Świat
word_021 obrazek
word_022 Maryi
word_023 Dulębianki
word_024 zdaje
word_025 się
word_026 główkę
word_027 niemowlęcia
word_028 oraz
word_029 w
word_030 jakim
word_031 mniej
word_032 więcej
word_033 czasie
word_034 i
word_035 za
word_036 jaką
word_037 cenę
word_038 O
word_039 objaśnienia
word_040 te
word_041 proszę
word_042 w
word_043 interesie
word_044 p
word_045 Dulębianki
word_046 i
word_047 proszona
