word_000 Rota
word_001 Nie
word_002 rzucim
word_003 ziemi
word_004 skąd
word_005 nasz
word_006 ród
word_007 Nie
word_008 damy
word_009 pogrześć
word_010 mowy
word_011 Polski
word_012 my
word_013 naród
word_014 polski
word_015 lud
word_016 Królewski
word_017 szczep
word_018 piastowy
word_019 Nie
word_020 damy
word_021 by
word_022 nas
word_023 zniemczył
word_024 wróg
word_025 Tak
word_026 nam
word_027 dopomóż
word_028 Bóg
word_029 Do
word_030 krwi
word_031 ostatniej
word_032 kropli
word_033 z
word_034 żył
word_035 Bronić
word_036 będziemy
word_037 Ducha
word_038 Aż
word_039 się
word_040 rozpadnie
word_041 w
word_042 proch
word_043 i
word_044 pył
word_045 Krzyżacka
word_046 zawierucha
word_047 Twierdzą
word_048 nam
word_049 będzie
word_050 każdy
word_051 próg
word_052 Tak
word_053 nam
word_054 dopomóż
word_055 Bóg
word_056 Nie
word_057 będzie
word_058 Niemiec
word_059 pluł
word_060 nam
word_061 w
word_062 twarz
word_063 I
word_064 dzieci
word_065 nam
word_066 germanił
word_067 Orężny
word_068 hufiec
word_069 hufiec
word_070 nasz
word_071 Duch
word_072 będzie
word_073 nam
word_074 hetmanił
word_075 Pójdziem
word_076 gdy
word_077 zagrzmi
word_078 złoty
word_079 róg
word_080 Tak
word_081 nam
word_082 dopomóż
word_083 Bóg
word_084 Maria
word_085 Konopnicka
