word_000 27IV
word_001 1920
word_002 r
word_003 Modlitwa
word_004 wychowawcy
word_005 Nie
word_006 niosę
word_007 Ci
word_008 modłów
word_009 długich
word_010 o
word_011 Boże
word_012 Nie
word_013 ślę
word_014 westchnień
word_015 licznych
word_016 Nie
word_017 biję
word_018 niskich
word_019 pokłonów
word_020 nie
word_021 składam
word_022 ofiary
word_023 bogatej
word_024 ku
word_025 czci
word_026 Twej
word_027 i
word_028 chwale
word_029 Nie
word_030 pragnę
word_031 wkraść
word_032 się
word_033 w
word_034 Twą
word_035 możną
word_036 łaskę
word_037 nie
word_038 zabiegam
word_039 o
word_040 dostojne
word_041 dary
word_042 Myśli
word_043 moje
word_044 nie
word_045 mają
word_046 skrzydeł
word_047 które
word_048 by
word_049 pieśń
word_050 niosły
word_051 w
word_052 niebiosa
word_053 Wyrazy
word_054 moje
word_055 nie
word_056 mają
word_057 barwy
word_058 ani
word_059 woni
word_060 ani
word_061 blasku
word_062 Znużony
word_063 jestem
word_064 i
word_065 senny
word_066 Wzrok
word_067 mój
word_068 przyćmiony
word_069 a
word_070 grzbiet
word_071 pochylony
word_072 pod
word_073 ciężarem
word_074 wielkiego
word_075 obo
word_076 wiązku
word_077 A
word_078 jednak
word_079 prośbę
word_080 serdeczną
word_081 zaniosę
word_082 o
word_083 Boże
word_084 A
word_085 jednak
word_086 klejnot
word_087 posiadam
