word_000 Irenko
word_001 dzieciaku
word_002 kochany
word_003 bardzo
word_004 mi
word_005 po
word_006 Tobie
word_007 i
word_008 tęskno
word_009 i
word_010 pusto
word_011 Rzadko
word_012 to
word_013 u
word_014 nas
word_015 wielkie
word_016 unieruchomienie
word_017 czynnika
word_018 i
word_019 sypie
word_020 mi
word_021 piaskiem
word_022 bardzo
word_023 sypie
word_024 wstyd
word_025 I
word_026 przykro
word_027 mi
word_028 było
word_029 tutaj
word_030 dlatego
word_031 że
word_032 przyjechałem
word_033 lekko
word_034 ale
word_035 bardzo
word_036 dlatego
word_037 że
word_038 Tobie
word_039 powiedziałem
word_040 sklepom
word_041 Twoim
word_042 przemiłym
word_043 przykrość
word_044 Możesz
word_045 dla
word_046 której
word_047 nie
word_048 ma
word_049 chcenia
word_050 i
word_051 nie
word_052 ma
word_053 chęci
word_054 równej
word_055 I
word_056 teraz
word_057 widzę
word_058 że
word_059 wszystko
word_060 co
word_061 piszesz
word_062 to
word_063 prawda
word_064 i
word_065 że
word_066 to
word_067 ja
word_068 byłem
word_069 gorszy
word_070 bo
word_071 pisałeś
word_072 o
word_073 rzeczach
word_074 ważnych
word_075 i
word_076 niechcący
word_077 byłeś
word_078 przewidujący
word_079 nad
word_080 wszystkimi
word_081 mitycznymi
word_082 pasjami
word_083 nad
word_084 nami
word_085 Wahaniem
word_086 się
word_087 i
word_088 zastanawianiem
word_089 można
word_090 to
word_091 nazwać
word_092 ale
word_093 to
word_094 przecież
word_095 jest
word_096 najważniejszy
word_097 składnik
word_098 w
word_099 nas
word_100 prawda
word_101 Z
word_102 wielkim
word_103 rozmachem
word_104 dawaj
word_105 dawaj
word_106 coś
word_107 i
word_108 z
word_109 właściwym
word_110 szeptem
word_111 Czy
word_112 ja
word_113 próbuję
word_114 tłumaczyć
word_115 z
word_116 martwej
word_117 punkty
word_118 widza
word_119 i
word_120 słuchacza
word_121 o
word_122 badawczej
word_123 chłodnej
word_124 atmosferze
word_125 Ale
word_126 to
word_127 nie
word_128 jest
word_129 ona
word_130 która
word_131 potęguje
word_132 radosność
word_133 Chcę
word_134 pisać
word_135 mnie
word_136 o
word_137 Tobie
