word_000 Aleksandrowi
word_001 Zygmuntowi
word_002 w
word_003 chwili
word_004 odjazdu
word_005 1840
word_006 r
word_007 29
word_008 Stycznia
word_009 Polski
word_010 polskiemu
word_011 szlachcic
word_012 szlachcicowi
word_013 Herb
word_014 ofiaruje
word_015 co
word_016 od
word_017 wieków
word_018 wielbi
word_019 Żywot
word_020 się
word_021 polany
word_022 w
word_023 polskich
word_024 blasków
word_025 steku
word_026 I
word_027 drugim
word_028 bywał
word_029 polskiemu
word_030 ludowi
word_031 Bądźmy
word_032 mu
word_033 winni
word_034 należy
word_035 się
word_036 Tobie
word_037 Młody
word_038 koryfej
word_039 który
word_040 ze
word_041 świętym
word_042 wawrzynem
word_043 Coś
word_044 zatknął
word_045 przodkom
word_046 koryfej
word_047 cały
word_048 na
word_049 grobie
word_050 Iżbyś
word_051 uroczej
word_052 części
word_053 dopełnił
word_054 czynem
word_055 Przyjm
word_056 więc
word_057 dumnie
word_058 na
word_059 polskiej
word_060 pamiątkę
word_061 Na
word_062 polskiej
word_063 ziemi
word_064 z
word_065 którejś
word_066 ty
word_067 wygnany
word_068 Rodu
word_069 twojego
word_070 ojczystą
word_071 pieczątkę
word_072 I
word_073 bywaj
word_074 zdrowy
word_075 a
word_076 bądź
word_077 nam
word_078 kochany
word_079 Roma

