word_000 1832
word_001 Genewa
word_002 17
word_003 Marca
word_004 Drogi
word_005 Konstanty
word_006 Odebrałem
word_007 twój
word_008 list
word_009 z
word_010 13
word_011 marca
word_012 Konstanty
word_013 Konstanty
word_014 przeszła
word_015 młodość
word_016 moja
word_017 po
word_018 części
word_019 na
word_020 złudzeniach
word_021 po
word_022 części
word_023 na
word_024 rzeczywistości
word_025 a
word_026 owa
word_027 rzeczywistość
word_028 tyle
word_029 była
word_030 gorętsza
word_031 czasem
word_032 Zdawało
word_033 mi
word_034 się
word_035 złudzeniem
word_036 złego
word_037 ducha
word_038 Ani
word_039 ty
word_040 do
word_041 mnie
word_042 ani
word_043 ja
word_044 do
word_045 ciebie
word_046 dostać
word_047 się
word_048 nie
word_049 mogę
word_050 związki
word_051 mam
word_052 ręce
word_053 krępujące
word_054 nie
word_055 dają
word_056 mi
word_057 paszportu
word_058 nienawidzę
word_059 tych
word_060 szpiegów
word_061 i
word_062 niechże
word_063 oni
word_064 choć
word_065 raz
word_066 wymarzną
word_067 Ha
word_068 jakże
word_069 ich
word_070 nienawidzę
word_071 nie
word_072 cierpię
word_073 tych
word_074 moskali
word_075 Pamiętaj
word_076 plunąć
word_077 na
word_078 moją
word_079 pamięć
word_080 jeśli
word_081 kiedy
word_082 posłyszysz
word_083 że
word_084 z
word_085 nich
word_086 co
word_087 przyjął
word_088 że
word_089 któremu
word_090 z
word_091 nich
word_092 rękę
word_093 ścisnął
word_094 lub
word_095 ukłonił
word_096 się
word_097 Zawiściłbym
word_098 dzikiego
word_099 Indianina
word_100 któremu
word_101 bym
word_102 zazdrościł
word_103 że
word_104 w
word_105 oczy
word_106 pieśni
word_107 wodzów
word_108 z
word_109 puszcz
word_110 Ameryki
word_111 wybierającego
word_112 się
word_113 na
word_114 boje
word_115 z
word_116 niecierpliwą
word_117 hordą
word_118 i
word_119 taki
word_120 mi
word_121 w
word_122 zgiełku
word_123 i
word_124 w
word_125 mrocznej
word_126 sumie
word_127 po
word_128 zielonej
word_129 trawie
word_130 woła
word_131 Krew
word_132 wasza
word_133 stopić
word_134 będzie
word_135 w
word_136 waszych
word_137 czaszkach
word_138 pić
word_139 krew
word_140 waszą
word_141 będę
word_142 a
word_143 z
word_144 waszych
word_145 włosów
word_146 porobię
word_147 ozdoby
word_148 z
word_149 którymi
word_150 igrać
word_151 będą
word_152 moje
word_153 dzieci
word_154 I
word_155 jadę
word_156 niedługo
word_157 do
word_158 Polski
word_159 tam
word_160 ich
word_161 czasami
word_162 zaległe
word_163 nasze
word_164 niwy
word_165 przejdę
word_166 między
word_167 nimi
word_168 z
word_169 dumą
word_170 człowieka
word_171 pana
word_172 zwierząt
word_173 w
word_174 Warszawie
word_175 trzech
word_176 dni
word_177 nie
word_178 posiedzę
word_179 do
word_180 Opinogóry
word_181 pojadę
word_182 tam
word_183 z
word_184 chłopami
word_185 naszymi
word_186 długie
word_187 będę
word_188 miał
word_189 rozmowy
word_190 u
word_191 ich
word_192 ogniska
word_193 zasiądę
word_194 z
word_195 ich
word_196 czar
word_197 pić
word_198 piwo
word_199 będę
word_200 i
word_201 będę
word_202 im
word_203 mówił
word_204 o
word_205 Pradze
word_206 i
word_207 o
word_208 Nieczyńskich
word_209 Niesiołowskich
word_210 rozumiesz
word_211 mnie
word_212 Jeśli
word_213 będę
word_214 mógł
word_215 wydobyć
word_216 się
word_217 z
word_218 ujarzmionego
word_219 kraju
word_220 po
word_221 kilku
word_222 miesiącach
word_223 to
word_224 wrócę
word_225 do
word_226 Europy
word_227 wtedy
word_228 Konstanty
word_229 zobaczymy
word_230 się
word_231 ale
word_232 wątpię
word_233 Syzyf
word_234 swoich
word_235 ofiar
word_236 nie
word_237 wypuszcza
word_238 nigdy
word_239 Mam
word_240 przeczucie
word_241 że
word_242 sobie
word_243 zamknę
word_244 mój
word_245 zawód
word_246 śmiercią
word_247 młoda
word_248 znasz
word_249 mnie
word_250 wiesz
word_251 że
word_252 mam
word_253 duszę
word_254 ognistą
word_255 niespokojną
word_256 w
word_257 tonie
