word_000 Po
word_001 dłuższym
word_002 obcowaniu
word_003 z
word_004 Księgą
word_005 Hioba
word_006 postanowiłem
word_007 napisać
word_008 puchowykomentarz
word_009 i
word_010 zrobiłem
word_011 to
word_012 przy
word_013 sporym
word_014 nakładzie
word_015 pracy
word_016 po
word_017 to
word_018 tylko
word_019 żeby
word_020 uznać
word_021 je
word_022 za
word_023 zbędne
word_024 i
word_025 zamiast
word_026 nich
word_027 dać
word_028 to
word_029 co
word_030 piszę
word_031 teraz
word_032 Zwyczajem
word_033 badań
word_034 nieczytelne
word_035 skreślenie
word_036 szukamy
word_037 przyczyn
word_038 naszej
word_039 nędzy
word_040 A
word_041 moim
word_042 zdaniem
word_043 jest
word_044 zresztą
word_045 nie
word_046 tyle
word_047 sens
word_048 księgi
word_049 Hioba
word_050 ile
word_051 zastanowienie
word_052 się
word_053 dlaczego
word_054 nad
word_055 moją
word_056 relacją
word_057 do
word_058 tamtej
word_059 rozmowy
word_060 której
word_061 ani
word_062 literacka
word_063 rzadka
word_064 ani
word_065 uczona
word_066 erudycja
word_067 nie
word_068 służą
word_069 Pewne
word_070 jest
word_071 że
word_072 powód
word_073 jest
word_074 skreślenie
word_075 Tak
word_076 krytyczny
word_077 proces
word_078 domaga
word_079 się
word_080 komentarza
word_081 tylko
word_082 pisano
word_083 o
word_084 nim
word_085 w
word_086 podłych
word_087 skreślenie
word_088 rzeczach
word_089 i
word_090 wyłącznie
word_091 faktycznie
word_092 i
word_093 ostatecznie
word_094 na
word_095 poziomie
word_096 skreślenie
word_097 języka
word_098 pozoru
word_099 na
word_100 poziomie
word_101 a
word_102 nie
word_103 rozważano
word_104 go
word_105 dość
word_106 dużo
word_107 Nawet
word_108 jednak
word_109 zakładając
word_110 że
word_111 mój
word_112 cel
word_113 był
word_114 wyjątkowy
word_115 nie
word_116 udało
word_117 mi
word_118 się
word_119 go
word_120 osiągnąć
word_121 powoli
word_122 skreślenie
word_123 nawet
word_124 tylko
word_125 usiłowałem
word_126 wykreślić
word_127 skreślenie
word_128 nagle
word_129 sypałby
word_130 się
word_131 na
word_132 moich
word_133 spodniach
word_134 czytelniku
