word_000 Ruskie
word_001 pierogi
word_002 80
word_003 pieces
word_004 Farsz
word_005 8
word_006 średnich
word_007 ziemniaków
word_008 25
word_009 dkg
word_010 sera
word_011 białego
word_012 KESSELA
word_013 okrągłe
word_014 plastikowe
word_015 pudełko
word_016 2
word_017 cebule
word_018 margaryna
word_019 masło
word_020 sól
word_021 pieprz
word_022 mielone
word_023 smażone
word_024 na
word_025 tłuszczu
word_026 Wszystko
word_027 przemieścić
word_028 wymieszać
word_029 Ciasto
word_030 3
word_031 decylitry
word_032 mąki
word_033 pszennej
word_034 1
word_035 jajko
word_036 całe
word_037 ciepła
word_038 woda
word_039 1
word_040 garnuszek
word_041 sól
word_042 jak
word_043 plastelina
word_044 nie
word_045 jak
word_046 makaron
word_047 dosyć
word_048 nawilżać
word_049 żeby
word_050 nie
word_051 wyschło
word_052 Lepić
word_053 ochotnie
word_054 palce
word_055 moczyć
word_056 w
word_057 mące
word_058 dużo
word_059 nadzienia
word_060 1
word_061 łyżka
word_062 spora
word_063 Gotować
word_064 w
word_065 słonej
word_066 wodzie
word_067 gotującej
word_068 się
word_069 nieco
word_070 Kiedy
word_071 wypłyną
word_072 jeszcze
word_073 5
word_074 minut
word_075 Polać
word_076 masłem
word_077 z
word_078 cebulką
word_079 Sprawdzić
word_080 dobre
word_081 pieprzne
word_082 więcej
word_083 ziemniaków
word_084 niż
word_085 sera
word_086 PAWEŁ
word_087 ZIĘĆ
word_088 JEGO
word_089 SZTOKHOLM
