word_000 Do
word_001 Postępowej
word_002 Ludzkości
word_003 Niniejszym
word_004 oświadczam
word_005 że
word_006 jestem
word_007 ostro
word_008 przeciw
word_009 A
word_010 Hitlerowi
word_011 i
word_012 jego
word_013 klice
word_014 Uważam
word_015 że
word_016 A
word_017 Hitler
word_018 był
word_019 zły
word_020 i
word_021 potępiam
word_022 kategorycznie
word_023 Również
word_024 jestem
word_025 przeciwko
word_026 cesarzowi
word_027 Neronowi
word_028 przeciwko
word_029 chińskiemu
word_030 cesarzowi
word_031 Ming
word_032 oraz
word_033 przeciwko
word_034 uciskowi
word_035 warstwy
word_036 chłopskiej
word_037 w
word_038 starożytnym
word_039 Egipcie
word_040 przez
word_041 Faraona
word_042 Podkreślam
word_043 z
word_044 naciskiem
word_045 że
word_046 te
word_047 moje
word_048 poglądy
word_049 głoszę
word_050 z
word_051 podniesioną
word_052 przyłbicą
word_053 i
word_054 wcale
word_055 się
word_056 nie
word_057 boję
word_058 reakcyjnych
word_059 głosów
word_060 Za
word_061 to
word_062 proszę
word_063 Sz
word_064 Po
word_065 Szanowną
word_066 Postępową
word_067 Ludzkość
word_068 o
word_069 przyznanie
word_070 mi
word_071 Nagrody
word_072 Pokoju
word_073 im
word_074 Nobla
word_075 Jak
word_076 nie
word_077 może
word_078 być

