word_000 Stygmat
word_001 Podobno
word_002 że
word_003 z
word_004 zadań
word_005 czynności
word_006 człowieka
word_007 najniewinniejszem
word_008 i
word_009 najpiękniejszem
word_010 a
word_011 jest
word_012 zadaniem
word_013 a
word_014 pewno
word_015 że
word_016 najciekawszem
word_017 w
word_018 znaczeniu
word_019 swojem
word_020 jest
word_021 zadanie
word_022 te
word_023 Żeby
word_024 pojść
word_025 zobaczyć
word_026 się
word_027 z
word_028 kim
word_029 lub
word_030 od
word_031 zobaczyć
word_032 się
word_033 zrobić
word_034 wizytę
word_035 Kapłaństwo
word_036 w
word_037 tem
word_038 jest
word_039 człowieczeństwo
word_040 tak
word_041 praktyczne
word_042 rodzalne
word_043 i
word_044 potoczny
word_045 obrządek
word_046 ceremoniału
word_047 w
word_048 naturze
word_049 życia
word_050 leżącego
word_051 Idzie
word_052 się
word_053 bez
word_054 żadnego
word_055 innego
word_056 interesu
word_057 mówi
word_058 się
word_059 to
word_060 co
word_061 i
word_062 tak
word_063 jest
word_064 samo
word_065 przez
word_066 się
word_067 powiedziane
word_068 pomiędzy
word_069 osobami
word_070 w
word_071 chwili
word_072 danej
word_073 odbiera
word_074 się
word_075 i
word_076 zamienia
word_077 potwierdzenie
word_078 lub
word_079 zaprzeczenie
word_080 mniemań
word_081 o
word_082 lada
word_083 czemś
word_084 pierwszem
word_085 lepszem
word_086 bez
word_087 umyślnego
word_088 wyboru
word_089 i
word_090 interesu
word_091 i
word_092 poszukuje
word_093 się
word_094 sposobem
word_095 tym
word_096 bez
word_097 podpisów
word_098 z
word_099 własnej
word_100 wolnie
word_101 i
word_102 bezwłasno
