word_000 Sytuacja
word_001 polityczna
word_002 zarysowuje
word_003 się
word_004 coraz
word_005 wyraźniej
word_006 Mamy
word_007 już
word_008 dwie
word_009 koalicje
word_010 Z
word_011 jednej
word_012 strony
word_013 Rosja
word_014 z
word_015 Francją
word_016 z
word_017 drugiej
word_018 Niemcy
word_019 Austrya
word_020 i
word_021 Anglia
word_022 A
word_023 jeżeli
word_024 tak
word_025 jest
word_026 wiec
word_027 znaczy
word_028 że
word_029 lada
word_030 chwilę
word_031 może
word_032 wybuchnąć
word_033 wojna
word_034 w
word_035 której
word_036 zostaną
word_037 rozstrzygnięte
word_038 bardzo
word_039 ale
word_040 to
word_041 bardzo
word_042 ważne
word_043 sprawy
word_044 Czy
word_045 tylko
word_046 będzie
word_047 wojna
word_048 Bo
word_049 my
word_050 się
word_051 zawsze
word_052 lepiej
word_053 wiemy
word_054 trudzić
word_055 Cóż
word_056 będzie
word_057 bym
word_058 razem
word_059 niezawodnie
word_060 Mówił
word_061 mi
word_062 Lisiecki
word_063 że
word_064 ja
word_065 co
word_066 roku
word_067 zapowiadam
word_068 wojnę
word_069 i
word_070 nigdy
word_071 się
word_072 nie
word_073 sprawdziło
word_074 Głupi
word_075 on
word_076 urzędowy
word_077 asyn
word_078 Co
word_079 innego
word_080 było
word_081 w
word_082 tamtych
word_083 latach
word_084 a
word_085 co
word_086 innego
word_087 dziś
word_088 Czytam
word_089 na
word_090 przykład
word_091 w
word_092 gazetach
word_093 że
word_094 Garibaldi
word_095 występuje
word_096 we
word_097 Włoszech
word_098 przeciw
word_099 Austrii
word_100 O
word_101 czegoż
word_102 on
word_103 oczekuje
word_104 Bo
word_105 spodziewać
word_106 się
word_107 wielkiej
word_108 wojny
word_109 i
word_110 nie
word_111 na
word_112 tym
word_113 koniec
word_114 lecz
word_115 w
word_116 kilka
word_117 dni
word_118 później
word_119 słyszę
word_120 że
word_121 generał
word_122 Turr
word_123 na
word_124 wszystkich
word_125 miedziach
word_126 lada
word_127 dzień
word_128 panika
word_129 zacznie
word_130 robić
word_131 kłopotu
word_132 Włochom
