word_000 Metamorfozy
word_001 pytam
word_002 siebie
word_003 kiedy
word_004 napiszesz
word_005 elegię
word_006 o
word_007 winie
word_008 i
word_009 chlebie
word_010 chciałem
word_011 wykręcić
word_012 się
word_013 rymem
word_014 i
word_015 odpowiedzieć
word_016 w
word_017 niebie
word_018 ale
word_019 ze
word_020 wstydu
word_021 zapadłem
word_022 się
word_023 pod
word_024 ziemię
word_025 od
word_026 tego
word_027 czasu
word_028 żywot
word_029 pędzę
word_030 kreta
word_031 i
word_032 nie
word_033 pamiętam
word_034 co
word_035 to
word_036 śpiew
word_037 wino
word_038 kobieta
word_039 te
word_040 czarne
word_041 kopczyki
word_042 na
word_043 zielonej
word_044 łące
word_045 to
word_046 jedyne
word_047 pamiątki
word_048 po
word_049 pracy
word_050 bez
word_051 końca
word_052 to
word_053 moje
word_054 podziemne
word_055 pomniki
word_056 tęskniące
word_057 do
word_058 słońca
word_059 a
word_060 co
word_061 ze
word_062 mną
word_063 pewnie
word_064 znowu
word_065 zmienię
word_066 formę
word_067 szatę
word_068 i
word_069 z
word_070 Orfeusza
word_071 zmienię
word_072 się
word_073 w
word_074 łopatę
