word_000 Drogi
word_001 Kolego
word_002 Jestem
word_003 od
word_004 tygodnia
word_005 w
word_006 Zakopanem
word_007 mieszkam
word_008 w
word_009 pensjonacie
word_010 Pani
word_011 Bulwar
word_012 Słowackiego
word_013 Korzystając
word_014 z
word_015 taniego
word_016 tygodnia
word_017 jazdy
word_018 święto
word_019 gór
word_020 przyjedźcie
word_021 tu
word_022 Zjedzie
word_023 się
word_024 masa
word_025 ludzi
word_026 ruch
word_027 niezwykły
word_028 W
word_029 moim
word_030 pensjonacie
word_031 nie
word_032 ma
word_033 wolnych
word_034 pokoi
word_035 ale
word_036 może
word_037 da
word_038 się
word_039 wstawić
word_040 drugie
word_041 łóżko
word_042 w
word_043 moim
word_044 pokoju
word_045 albo
word_046 też
word_047 zamieszkacie
word_048 gdzieś
word_049 obok
word_050 Oczekuję
word_051 Was
word_052 z
word_053 ciekawością
word_054 i
word_055 radością
word_056 Przyjedźcie
word_057 Wszystko
word_058 inne
word_059 omówimy
word_060 ustnie
word_061 Bądźcie
word_062 zdrowi
word_063 pozdrawiam
word_064 Was
word_065 serdecznie
word_066 Wasz
word_067 Bruno
word_068 Schulz
word_069 Zakopane
word_070 3
word_071 VII
word_072 1935
word_073 Waszą
word_074 kartkę
word_075 dopiero
word_076 dziś
word_077 z
word_078 domu
word_079 otrzymałem
