word_000 Droga
word_001 Pani
word_002 Aniu
word_003 Dziękuję
word_004 za
word_005 kartkę
word_006 myślałem
word_007 że
word_008 Pani
word_009 jest
word_010 rozgniewana
word_011 na
word_012 mnie
word_013 Cieszę
word_014 się
word_015 bardzo
word_016 że
word_017 tak
word_018 nie
word_019 jest
word_020 Niestety
word_021 w
word_022 niedzielę
word_023 zdaje
word_024 się
word_025 nie
word_026 przyjadę
word_027 gdyż
word_028 mam
word_029 w
word_030 tym
word_031 dniu
word_032 poddać
word_033 mamusię
word_034 poważnej
word_035 operacji
word_036 Jestem
word_037 z
word_038 tego
word_039 powodu
word_040 smutny
word_041 i
word_042 niespokojny
word_043 chociaż
word_044 niebezpieczeństwa
word_045 nie
word_046 ma
word_047 Operują
word_048 w
word_049 tutejszym
word_050 szpitalu
word_051 Proszę
word_052 mi
word_053 jutro
word_054 rozstrzygnąć
word_055 czy
word_056 Pani
word_057 w
word_058 niedzielę
word_059 czy
word_060 później
word_061 W
word_062 sobotę
word_063 popołudniu
word_064 jestem
word_065 wolny
word_066 jeżeli
word_067 Pani
word_068 przyjedzie
word_069 będę
word_070 się
word_071 cieszył
word_072 Bardzo
word_073 serdecznie
word_074 Panią
word_075 pozdrawiam
word_076 Brunoschulz
