word_000 17
word_001 lutego
word_002 1910
word_003 Najdroższa
word_004 Halko
word_005 Spóźnione
word_006 nieco
word_007 otrzymasz
word_008 moje
word_009 życzenia
word_010 lecz
word_011 co
word_012 prawda
word_013 w
word_014 strasznym
word_015 ogniu
word_016 pracy
word_017 w
word_018 jakim
word_019 jestem
word_020 przegapiłem
word_021 dzień
word_022 w
word_023 którym
word_024 powinienem
word_025 był
word_026 do
word_027 Ciebie
word_028 napisać
word_029 Przekonany
word_030 wszakże
word_031 jestem
word_032 w
word_033 duszy
word_034 że
word_035 wiesz
word_036 jak
word_037 zawsze
word_038 i
word_039 wszędzie
word_040 bez
word_041 imienin
word_042 życzę
word_043 Ci
word_044 najlepiej
word_045 i
word_046 najserdeczniej
word_047 I
word_048 te
word_049 kilkodniowe
word_050 spóźnienie
word_051 mych
word_052 życzeń
word_053 nie
word_054 sprawi
word_055 Ci
word_056 przykrości
word_057 Od
word_058 dziecinnych
word_059 lat
word_060 Twoich
word_061 zawsze
word_062 byłem
word_063 sercem
word_064 Ci
word_065 bliski
word_066 dziś
word_067 gdyś
word_068 dorosła
word_069 i
word_070 gdy
word_071 Cię
word_072 bardziej
word_073 jeszcze
word_074 wzajem
word_075 pojmujemy
word_076 czuję
word_077 się
word_078 Tobie
word_079 bardziej
word_080 jeszcze
word_081 bliskim
word_082 i
word_083 jeszcze
word_084 większem
word_085 rad
word_086 bym
word_087 Cię
word_088 otoczył
word_089 kochaniem
word_090 To
word_091 ciepło
word_092 serc
word_093 drogich
word_094 jest
word_095 jedynym
word_096 w
word_097 życiu
word_098 urokiem
word_099 tak
word_100 w
word_101 życiu
word_102 niezbędnym
word_103 i
word_104 z
word_105 tą
word_106 troską
word_107 moje
word_108 najmilsze
word_109 dla
word_110 Ciebie
word_111 płyną
word_112 życzenia
word_113 Chcę
word_114 być
word_115 nie
word_116 tylko
word_117 Twoim
word_118 kochającym
word_119 wujem
