word_000 Kraków
word_001 27
word_002 XI
word_003 1980
word_004 Danusiu
word_005 kochana
word_006 Moja
word_007 Jaka
word_008 smutna
word_009 wiadomość
word_010 Myślami
word_011 jestem
word_012 z
word_013 Tobą
word_014 Słowami
word_015 niestety
word_016 nie
word_017 potrafię
word_018 pomóc
word_019 Mogę
word_020 sobie
word_021 wyobrazić
word_022 tylko
word_023 jak
word_024 musi
word_025 Ci
word_026 być
word_027 ciężko
word_028 i
word_029 pusto
word_030 Przecież
word_031 nawet
word_032 ja
word_033 choć
word_034 od
word_035 tak
word_036 dawna
word_037 z
word_038 Wami
word_039 się
word_040 nie
word_041 widziałam
word_042 i
word_043 nie
word_044 miałam
word_045 od
word_046 Was
word_047 wiadomości
word_048 czułam
word_049 stale
word_050 Waszą
word_051 gdzieś
word_052 tam
word_053 daleko
word_054 obecność
word_055 I
word_056 długo
word_057 jeszcze
word_058 nie
word_059 będę
word_060 mogła
word_061 oswoić
word_062 się
word_063 z
word_064 myślą
word_065 że
word_066 Janka
word_067 już
word_068 nie
word_069 ma
word_070 I
word_071 nie
word_072 ma
word_073 jego
word_074 przyjaznej
word_075 obecności
word_076 jego
word_077 cierpliwego
word_078 umysłu
word_079 jego
word_080 uśmiechu
word_081 Wiem
word_082 że
word_083 oboje
word_084 chorowaliście
word_085 i
word_086 Ty
word_087 także
word_088 chorowałaś
word_089 i
word_090 że
word_091 było
word_092 Wam
word_093 bardzo
word_094 i
word_095 tym
word_096 wszystkim
word_097 ciężko
word_098 kochana
word_099 kiedy
word_100 już
word_101 będziesz
word_102 mogła
word_103 o
word_104 tym
word_105 pisać
word_106 napisz
word_107 bardzo
word_108 proszę
word_109 będę
word_110 czekać
word_111 na
word_112 Twój
word_113 list
word_114 A
word_115 potem
word_116 na
word_117 Twój
word_118 przyjazd
word_119 do
word_120 Krakowa
word_121 który
word_122 daj
word_123 Boże
word_124 troszkę
word_125 oderwie
word_126 Cię
word_127 od
word_128 bolesnych
word_129 miejsc
word_130 i
word_131 wspomnień
word_132 a
word_133 mnie
word_134 pozwoli
word_135 zobaczyć
word_136 Cię
word_137 wreszcie
word_138 i
word_139 mocno
word_140 uścisnąć
word_141 Twoja
word_142 Wisława
