word_000 Hymn
word_001 O
word_002 zachodzie
word_003 słońca
word_004 na
word_005 morzu
word_006 Smutno
word_007 mi
word_008 Boże
word_009 Dla
word_010 mnie
word_011 na
word_012 zachodzie
word_013 Rozlałeś
word_014 tęczę
word_015 blasków
word_016 promienistą
word_017 Przedemną
word_018 gasisz
word_019 w
word_020 szafirowej
word_021 wodzie
word_022 Gwiazdę
word_023 ognistą
word_024 Choć
word_025 mi
word_026 tak
word_027 niebo
word_028 ty
word_029 złocisz
word_030 i
word_031 morze
word_032 Smutno
word_033 mi
word_034 Boże
