word_000 Warszawa
word_001 24
word_002 IV
word_003 51
word_004 Kochany
word_005 Panie
word_006 Juliszu
word_007 Przez
word_008 kilka
word_009 dni
word_010 byłem
word_011 w
word_012 mieście
word_013 dziś
word_014 wracam
word_015 do
word_016 Anina
word_017 Nie
word_018 odzywałem
word_019 się
word_020 do
word_021 Pana
word_022 żeby
word_023 nie
word_024 przeszkadzać
word_025 wiem
word_026 że
word_027 Pan
word_028 pracuje
word_029 nad
word_030 życiorysami
word_031 i
word_032 komentarzami
word_033 Wkrótce
word_034 zabierzemy
word_035 się
word_036 do
word_037 II
word_038 tomu
word_039 który
word_040 powinien
word_041 wypaść
word_042 jeszcze
word_043 świetniej
word_044 niż
word_045 pierwszy
word_046 jako
word_047 że
word_048 będziemy
word_049 doświadczonymi
word_050 już
word_051 antologistami
word_052 Marzę
word_053 o
word_054 rozmowie
word_055 z
word_056 Panem
word_057 jak
word_058 mamy
word_059 jedną
word_060 kure
word_061 o
word_062 rozmowie
word_063 z
word_064 drugą
word_065 na
word_066 temat
word_067 trzeciej
word_068 Ta
word_069 trzecia
word_070 jest
word_071 w
word_072 tym
word_073 wypadku
word_074 Spółka
word_075 KottWażyk
word_076 i
word_077 ich
word_078 antologia
word_079 Użylibyśmy
word_080 sobie
word_081 w
word_082 tej
word_083 pogawędce
word_084 Moja
word_085 pani
word_086 moja
word_087 pani
word_088 Czy
word_089 pamięta
word_090 Pan
word_091 o
word_092 Ludwiku
word_093 Norwidzie
word_094 Trzeba
word_095 by
word_096 wybrać
word_097 jakieś
word_098 inne
word_099 jego
word_100 wiersze
word_101 Wojkowskiej
word_102 w
word_103 Nar
word_104 ani
word_105 Uniw
word_106 nie
word_107 ma
word_108 Czy
word_109 posiada
word_110 Pan
word_111 odpis
word_112 wiersza
word_113 Ściskam
word_114 dłoń
word_115 serdecznie
word_116 Julian
word_117 Tuwim
