word_000 23
word_001 X
word_002 1903
word_003 r
word_004 Kraków
word_005 Szanowna
word_006 i
word_007 Droga
word_008 Pani
word_009 Podziękuj
word_010 Pani
word_011 za
word_012 list
word_013 Ale
word_014 sam
word_015 z
word_016 pisaniem
word_017 listów
word_018 jestem
word_019 b
word_020 źle
word_021 Muszę
word_022 prosić
word_023 o
word_024 wybaczenie
word_025 spóźnionej
word_026 odpowiedzi
word_027 do
word_028 tego
word_029 o
word_030 napisanych
word_031 przeze
word_032 mnie
word_033 listach
word_034 w
word_035 ogóle
word_036 idzie
word_037 mało
word_038 Na
word_039 pytania
word_040 krótko
word_041 wyliczę
word_042 ale
word_043 muszę
word_044 jeszcze
word_045 parę
word_046 do
word_047 osób
word_048 z
word_049 listów
word_050 Jestem
word_051 w
word_052 Krakowie
word_053 w
word_054 potem
word_055 jadę
word_056 na
word_057 występy
word_058 na
word_059 Śląsk
word_060 Górny
word_061 i
word_062 nawet
word_063 Cieszyński
word_064 O
word_065 ile
word_066 będę
word_067 u
word_068 Państwa
word_069 do
word_070 dopytania
word_071 się
word_072 całe
word_073 życie
word_074 potrzebne
word_075 dzieciom
word_076 wyznaczaniem
word_077 na
word_078 wyprawę
word_079 się
word_080 na
word_081 50
word_082 km
word_083 a
word_084 z
word_085 tego
word_086 przebiegamy
word_087 w
word_088 żwawym
word_089 tempie
word_090 kilkanaście
word_091 i
word_092 musimy
word_093 trzymać
word_094 w
word_095 porządku
