word_000 22
word_001 XII
word_002 1918
word_003 r
word_004 Z-ne
word_005 Najdroższa
word_006 Aniu
word_007 Piszę
word_008 na
word_009 poczcie
word_010 chcąc
word_011 oddać
word_012 list
word_013 jak
word_014 najprędzej
word_015 Spóźnię
word_016 się
word_017 pewnie
word_018 do
word_019 obiadu
word_020 Przyjdę
word_021 ok
word_022 2-ej
word_023 lub
word_024 2
word_025 1
word_026 2
word_027 Ścisnę
word_028 Cię
word_029 najserdeczniej
word_030 i
word_031 najgoręcej
word_032 i
word_033 Henryka
word_034 i
word_035 nie
word_036 gniewaj
word_037 się
word_038 na
word_039 mnie
word_040 że
word_041 piszę
word_042 tak
word_043 pośpiesznie
word_044 i
word_045 na
word_046 byle
word_047 jakim
word_048 papierze
word_049 Całuję
word_050 Cię
word_051 bardzo
word_052 Twoja
word_053 St
word_054 Żeromski
word_055 Bardzo
word_056 proszę
word_057 uprzedź
word_058 kuchnię
word_059 że
word_060 się
word_061 spóźnię
