word_000 Kochany
word_001 Bronisławie
word_002 Ośmielam
word_003 się
word_004 prosić
word_005 Cię
word_006 najuprzejmiej
word_007 o
word_008 następującą
word_009 przysługę
word_010 Wróciłem
word_011 z
word_012 Zakopanego
word_013 na
word_014 wiosnę
word_015 i
word_016 nie
word_017 zmieniłem
word_018 dotąd
word_019 swego
word_020 zagranicznego
word_021 paszportu
word_022 na
word_023 krajowy
word_024 który
word_025 leży
word_026 w
word_027 biurze
word_028 gubernialnem
word_029 w
word_030 Kielcach
word_031 Ponieważ
word_032 nie
word_033 wiem
word_034 dokładnie
word_035 do
word_036 którego
word_037 urzędnika
word_038 się
word_039 udać
word_040 żeby
word_041 mi
word_042 przysłał
word_043 mój
word_044 paszp
word_045 krajowy
word_046 wzamian
word_047 za
word_048 zagraniczny
word_049 umyśliłem
word_050 prosić
word_051 o
word_052 to
word_053 Ciebie
word_054 Sprawa
word_055 tedy
word_056 polega
word_057 na
word_058 tem
word_059 żebyś
word_060 raczył
word_061 posłać
word_062 do
word_063 gubernii
word_064 mój
word_065 paszport
word_066 który
word_067 przy
word_068 tym
word_069 liście
word_070 załą

