id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	109	656	326	725	wczoraj	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
1	word_001.png	359	647	578	714	odwołać	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
2	word_002.png	596	652	784	717	kazałem	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
3	word_003.png	804	654	1016	717	odebrawszy	72 / ^ -	0.000000	0.147329	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
4	word_004.png	1045	632	1152	725	Twój	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
5	word_005.png	100	741	217	792	list	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
6	word_006.png	275	750	319	792	a	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
7	word_007.png	317	719	594	808	fortepian	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
8	word_008.png	603	719	750	806	jaki	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
9	word_009.png	752	725	873	792	głos	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
10	word_010.png	884	730	953	779	ma	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
11	word_011.png	964	714	1150	792	jeszcze	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
12	word_012.png	103	821	172	888	nie	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
13	word_013.png	192	801	333	871	wiem	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
14	word_014.png	350	801	408	875	bo	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
15	word_015.png	419	799	790	892	nie odpakowany	~a<l 14	0.000000	0.202794	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
16	word_016.png	804	792	984	868	dopiero	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
17	word_017.png	980	781	1130	877	jutro	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
18	word_018.png	85	900	163	953	ma	4 H^	0.000000	0.094075	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
19	word_019.png	185	884	295	975	być	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
20	word_020.png	317	897	413	955	ten	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
21	word_021.png	429	882	609	942	wielki	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
22	word_022.png	618	875	859	967	wypadek	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
23	word_023.png	882	855	958	915	Co	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
24	word_024.png	960	864	1009	931	się	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
25	word_025.png	1040	877	1074	917	z	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
26	word_026.png	1063	882	1228	942	poszukiwaniem	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
27	word_027.png	87	960	275	1018	waniem	44 ' 1 ! 7	0.000000	0.373808	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
28	word_028.png	304	975	379	1011	na	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
29	word_029.png	400	958	585	1020	rulażu	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
30	word_030.png	603	964	746	1034	tycze	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
31	word_031.png	770	958	853	1029	daj	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
32	word_032.png	871	946	1040	1031	pokój	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
33	word_033.png	1051	953	1130	1007	bo	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
34	word_034.png	78	1027	286	1092	nie warto	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
35	word_035.png	317	1022	408	1100	się	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
36	word_036.png	433	1025	612	1100	kłócić	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
37	word_037.png	681	1031	904	1094	Zrobiłeś	7 7 1	0.000000	0.413783	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
38	word_038.png	884	1031	1013	1114	jak	[manual]	0.000000	1.000000	C:\OCR_ZPI\Chopin\List Fryderyka Chopina do Juliana Fontany12.jpg
