id	crop_file	xmin	ymin	xmax	ymax	text	prob	source_image
0	word_000.jpg	208	121	430	232	Klapper	0.357315	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
1	word_001.jpg	167	282	226	365	Są	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
2	word_002.jpg	240	281	343	382	tacy	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
3	word_003.jpg	357	277	476	377	którzy	0.178092	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
4	word_004.jpg	485	319	506	367	w	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
5	word_005.jpg	516	279	634	387	głowie	0.046158	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
6	word_006.jpg	180	363	317	456	hodują	0.064068	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
7	word_007.jpg	340	387	469	470	ogrody	0.122455	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
8	word_008.jpg	187	465	222	513	a	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
9	word_009.jpg	233	456	345	529	włosy	0.735299	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
10	word_010.jpg	368	456	430	518	ich	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
11	word_011.jpg	441	467	490	527	są	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
12	word_012.jpg	498	449	671	518	ścieżkami	0.134021	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
13	word_013.jpg	181	520	237	589	do	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
14	word_014.jpg	257	522	365	601	miast	0.455960	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
15	word_015.jpg	389	527	558	603	słonecznych	0.305620	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
16	word_016.jpg	570	535	598	587	i	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
17	word_017.jpg	604	517	753	594	białych	0.553165	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
18	word_018.jpg	582	1021	765	1116	Zbigniew	0.273056	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
19	word_019.jpg	776	1014	938	1105	Herbert	0.797209	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
20	word_020.jpg	90	1338	214	1446	Berl	0.572008	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
21	word_021.jpg	242	1336	296	1429	12	0.241984	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
22	word_022.jpg	315	1331	372	1422	XI	0.104901	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
23	word_023.jpg	374	1336	483	1426	1964	0.376666	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Herbert\Herbert.jpg
