id	crop_file	xmin	ymin	xmax	ymax	text	prob	source_image
0	word_000.jpg	111	27	233	117	P2	0.230726	C:\Users\Adi\Desktop\Kasprowicz.jpg
1	word_001.jpg	255	75	297	129	się	0.854563	C:\Users\Adi\Desktop\Kasprowicz.jpg
2	word_002.jpg	312	53	431	142	[Mar	0.040081	C:\Users\Adi\Desktop\Kasprowicz.jpg
3	word_003.jpg	453	57	519	120	ale	1.000000	C:\Users\Adi\Desktop\Kasprowicz.jpg
4	word_004.jpg	526	57	677	140	Yasu	0.350517	C:\Users\Adi\Desktop\Kasprowicz.jpg
5	word_005.jpg	689	71	798	136	Vw	0.072453	C:\Users\Adi\Desktop\Kasprowicz.jpg
6	word_006.jpg	108	120	227	213	Piin	0.215157	C:\Users\Adi\Desktop\Kasprowicz.jpg
7	word_007.jpg	246	148	287	193	z	1.000000	C:\Users\Adi\Desktop\Kasprowicz.jpg
8	word_008.jpg	310	143	403	219	hnu	0.177092	C:\Users\Adi\Desktop\Kasprowicz.jpg
9	word_009.jpg	426	132	542	203	Dssi a	0.041869	C:\Users\Adi\Desktop\Kasprowicz.jpg
10	word_010.jpg	562	142	683	220	Muwim	0.154755	C:\Users\Adi\Desktop\Kasprowicz.jpg
11	word_011.jpg	707	137	824	208	Hlany	0.077388	C:\Users\Adi\Desktop\Kasprowicz.jpg
12	word_012.jpg	118	204	153	273	I	1.000000	C:\Users\Adi\Desktop\Kasprowicz.jpg
13	word_013.jpg	162	214	265	271	sial	0.290878	C:\Users\Adi\Desktop\Kasprowicz.jpg
14	word_014.jpg	291	215	445	295	bhlnu|	0.006609	C:\Users\Adi\Desktop\Kasprowicz.jpg
15	word_015.jpg	467	227	608	283	[mLm	0.043360	C:\Users\Adi\Desktop\Kasprowicz.jpg
16	word_016.jpg	634	199	735	274	hvi	0.240257	C:\Users\Adi\Desktop\Kasprowicz.jpg
17	word_017.jpg	747	203	906	290	JKzas .	0.069092	C:\Users\Adi\Desktop\Kasprowicz.jpg
18	word_018.jpg	598	345	707	482	Jan	1.000000	C:\Users\Adi\Desktop\Kasprowicz.jpg
19	word_019.jpg	724	352	948	462	u Kahnvin	0.096648	C:\Users\Adi\Desktop\Kasprowicz.jpg
