id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	202	280	493	430	Własność	Ahams:	0.000000	0.348046	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
1	word_001.png	487	295	594	444	T	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
2	word_002.png	589	290	1015	443	Białynicki	(iSmi	0.000000	0.565431	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
3	word_003.png	1001	311	1296	445	Birula	Osulec	0.000000	0.507572	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
4	word_004.png	531	449	944	581	Zakopane	Qslonoms	0.000000	0.153943	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
5	word_005.png	194	612	280	749	ul	V	0.000000	0.120309	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
6	word_006.png	282	625	765	756	Zamoyskiego	Lauaou Qaes qo	0.000000	0.212970	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
7	word_007.png	761	629	989	761	willa	;lla	0.000000	0.227864	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
8	word_008.png	985	628	1210	764	Alma	Olma '	0.000000	0.400632	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
9	word_009.png	621	764	765	900	N	[manual]	0.000000	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
10	word_010.png	746	784	1015	913	243	243	0.000000	0.347197	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Witkiewicz\Witkiewicz3.jpg
